iter	Passed	Remaining
399	31232	203010
400	31297	202847
401	31380	202803
402	31454	202699
403	31527	202589
404	31606	202514
405	31685	202441
406	31764	202372
407	31843	202299
408	31935	202307
409	32010	202213
410	32094	202171
411	32191	202209
412	32278	202189
413	32370	202198
414	32453	202148
415	32522	202016
416	32603	201954
417	32705	202021
418	32799	202042
419	32884	202002
420	32964	201938
421	33055	201936
422	33140	201898
423	33230	201890
424	33292	201712
425	33364	201594
426	33431	201447
427	33492	201266
428	33588	201297
429	33666	201218
430	33747	201153
431	33827	201087
432	33914	201061
433	33984	200933
434	34053	200796
435	34149	200823
436	34258	200925
437	34353	200944
438	34454	200998
439	34559	201073
440	34672	201193
441	34772	201239
442	34891	201394
443	35001	201496
444	35125	201677
445	35259	201910
446	35348	201887
447	35459	201992
448	35564	202059
449	35651	202026
450	35739	201998
451	35878	202250
452	36025	202551
453	36139	202670
454	36258	202809
455	36386	202996
456	36487	203036
457	36570	202972
458	36661	202955
459	36749	202918
460	36842	202913
461	36928	202867
462	37009	202793
463	37089	202711
464	37179	202688
465	37274	202691
466	37362	202650
467	37421	202458
468	37496	202354
469	37588	202336
470	37679	202317
471	37769	202291
472	37843	202179
473	37914	202052
474	38007	202041
475	38099	202025
476	38190	201999
477	38267	201902
478	38347	201824
479	38419	201702
480	38514	201701
481	38595	201623
482	38662	201479
483	38757	201473
484	38833	201375
485	38923	201344
486	39023	201367
487	39099	201264
488	39174	201157
489	39264	201132
490	39361	201137
491	39464	201171
492	39540	201072
493	39623	201006
494	39713	200975
495	39786	200859
496	39875	200823
497	39964	200784
498	40020	200585
499	40094	200473
500	40191	200475
501	40279	200435
502	40364	200380
503	40449	200321
504	40540	200292
505	40615	200186
506	40682	200041
507	40765	199974
508	40851	199924
509	40932	199848
510	41040	199901
511	41131	199873
512	41254	200001
513	41361	200046
514	41473	200120
515	41552	200030
516	41640	199986
517	41742	200008
518	41845	200037
519	41956	200102
520	42027	199974
521	42113	199918
522	42223	199975
523	42352	200122
524	42474	200237
525	42573	200239
526	42668	200228
527	42782	200298
528	42875	200275
529	42965	200235
530	43054	200189
531	43130	200087
532	43225	200070
533	43294	199930
534	43366	199811
535	43442	199703
536	43535	199679
537	43613	199585
538	43689	199482
539	43768	199388
540	43855	199335
541	43945	199294
542	44022	199193
543	44105	199124
544	44188	199048
545	44277	199003
546	44374	198994
547	44448	198883
548	44540	198849
549	44625	198785
550	44720	198767
551	44811	198728
552	44904	198702
553	44998	198677
554	45081	198602
555	45178	198589
556	45280	198599
557	45345	198449
558	45425	198361
559	45515	198315
560	45592	198218
561	45673	198135
562	45757	198066
563	45840	197990
564	45932	197955
565	45996	197799
566	46064	197663
567	46142	197566
568	46225	197492
569	46313	197440
570	46394	197358
571	46477	197284
572	46568	197245
573	46659	197206
574	46743	197134
575	46813	197008
576	46903	196961
577	46979	196856
578	47077	196848
579	47156	196758
580	47235	196665
581	47312	196566
582	47400	196513
583	47485	196448
584	47568	196374
585	47652	196302
586	47723	196178
587	47799	196073
588	47872	195961
589	47947	195852
590	48042	195828
591	48117	195719
592	48206	195669
593	48281	195565
594	48356	195459
595	48456	195452
596	48534	195359
597	48613	195266
598	48690	195167
599	48763	195055
600	48848	194986
601	48931	194912
602	49013	194833
603	49114	194831
604	49200	194768
605	49269	194638
606	49346	194539
607	49420	194428
608	49499	194342
609	49567	194208
610	49636	194077
611	49713	193980
612	49784	193857
613	49877	193825
614	49972	193797
615	50051	193705
616	50132	193621
617	50217	193558
618	50311	193524
619	50390	193435
620	50475	193367
621	50551	193264
622	50634	193189
623	50720	193129
624	50804	193058
625	50896	193016
626	50970	192908
627	51049	192818
628	51123	192706
629	51199	192606
630	51280	192524
631	51373	192488
632	51460	192426
633	51520	192268
634	51611	192222
635	51693	192143
636	51755	191991
637	51836	191909
638	51919	191832
639	52009	191785
640	52073	191640
641	52136	191491
642	52244	191508
643	52330	191445
644	52420	191397
645	52507	191334
646	52578	191217
647	52652	191107
648	52734	191030
649	52821	190970
650	52890	190843
651	52969	190754
652	53037	190626
653	53101	190482
654	53176	190380
655	53256	190294
656	53344	190237
657	53418	190130
658	53491	190022
659	53571	189936
660	53641	189813
661	53724	189739
662	53814	189690
663	53874	189533
664	53955	189451
665	54029	189346
666	54103	189240
667	54199	189212
668	54299	189195
669	54390	189148
670	54482	189104
671	54567	189036
672	54648	188956
673	54728	188871
674	54819	188823
675	54910	188775
676	54996	188709
677	55077	188629
678	55151	188522
679	55247	188493
680	55346	188469
681	55439	188430
682	55518	188338
683	55609	188291
684	55682	188183
685	55752	188063
686	55837	187995
687	55912	187893
688	55997	187823
689	56073	187724
690	56158	187656
691	56245	187594
692	56333	187535
693	56431	187507
694	56490	187352
695	56575	187283
696	56662	187222
697	56735	187112
698	56810	187010
699	56892	186933
700	56986	186893
701	57071	186822
702	57161	186769
703	57236	186669
704	57319	186593
705	57387	186469
706	57461	186364
707	57540	186275
708	57608	186152
709	57683	186050
710	57766	185974
711	57854	185914
712	57949	185877
713	58031	185796
714	58115	185725
715	58198	185651
716	58265	185523
717	58351	185456
718	58437	185390
719	58514	185296
720	58603	185240
721	58690	185174
722	58779	185118
723	58864	185049
724	58947	184973
725	59037	184919
726	59121	184846
727	59199	184755
728	59278	184666
729	59362	184594
730	59506	184707
731	59658	184842
732	59771	184859
733	59852	184776
734	59952	184751
735	60043	184697
736	60134	184647
737	60214	184559
738	60303	184500
739	60390	184436
740	60476	184368
741	60566	184311
742	60657	184258
